id,Year,REG,State Name,HLSA Num,Line Num,Service Category,SSBG Expenditures,Total TANF,Total SSBG Expenditures,"Other Fed, State, and Local Funds",Children,Adults 59 and Younger,Adults 60 and Older,Adults Unknown,Total Adults,Total Recipients
99,2016,4,Alabama,1,26,Special Services - Youth at Risk,0,0,0,0,0,0,0,0,0,0
99,2016,4,Alabama,4,27,Substance Abuse Services,0,0,0,0,0,0,0,0,0,0
99,2016,4,Alabama,8,28,Transportation,0,0,0,0,0,0,0,0,0,0
99,2016,4,Alabama,8,29,Other Services,11066643,9331520,20398163,290115237,10552,0,0,0,0,10552
99,2016,4,Alabama,0,31,Administrative Costs,2068745,0,2068745,0,0,0,0,0,0,0
99,2016,4,Alabama,0,32,All Categories,24453248,9331520,33784768,414209087,38361,0,0,7473,7473,45834
98,2016,10,Alaska,1,1,Adoption Services,3640366,94106,3734472,30867369,3608,0,0,0,0,3608
98,2016,10,Alaska,2,2,Case Management,0,14656,14656,1344057,13329,0,0,0,0,13329
98,2016,10,Alaska,7,3,Congregate Meals,0,0,0,0,0,0,0,0,0,0
98,2016,10,Alaska,2,4,Counseling Services,0,0,0,0,0,0,0,0,0,0
98,2016,10,Alaska,7,5,Day Care - Adults,0,0,0,0,0,0,0,0,0,0
98,2016,10,Alaska,3,6,Day Care - Children,0,0,0,0,0,0,0,0,0,0
98,2016,10,Alaska,5,7,Education and Training Services,0,352511,352511,4345754,42,0,0,0,0,42
98,2016,10,Alaska,5,8,Employment Services,0,0,0,0,0,0,0,0,0,0
98,2016,10,Alaska,4,9,Family Planning Services,0,0,0,0,0,0,0,0,0,0
98,2016,10,Alaska,7,10,Foster Care Services - Adults,0,0,0,0,0,0,0,0,0,0
98,2016,10,Alaska,1,11,Foster Care Services - Children,0,632261,632261,36666507,2572,0,0,0,0,2572
98,2016,10,Alaska,4,12,Health-Related Services,0,59395,59395,12627078,2200,0,0,0,0,2200
98,2016,10,Alaska,8,13,Home-Based Services,0,0,0,0,0,0,0,0,0,0
98,2016,10,Alaska,7,14,Home-Delivered Meals,0,0,0,0,0,0,0,0,0,0
98,2016,10,Alaska,8,15,Housing Services,0,0,0,0,0,0,0,0,0,0
98,2016,10,Alaska,5,16,Independent/Transitional Living Services,0,125938,125938,1496226,296,0,0,0,0,296
98,2016,10,Alaska,2,17,Information and Referral,0,0,0,0,0,0,0,0,0,0
98,2016,10,Alaska,8,18,Legal Services,0,261491,261491,3420976,0,0,0,0,0,0
98,2016,10,Alaska,4,19,Pregnancy and Parenting,0,0,0,0,0,0,0,0,0,0
98,2016,10,Alaska,8,20,Prevention and Intervention,0,260719,260719,2572978,9420,0,0,0,0,9420
98,2016,10,Alaska,7,21,Protective Services - Adults,0,0,0,0,0,0,0,0,0,0
98,2016,10,Alaska,1,22,Protective Services - Children,0,1880572,1880572,20410493,30742,0,0,0,0,30742
98,2016,10,Alaska,8,23,Recreation Services,0,0,0,0,0,0,0,0,0,0
98,2016,10,Alaska,4,24,Residential Treatment,0,526884,526884,4198787,469,0,0,0,0,469
98,2016,10,Alaska,6,25,Special Services - Disabled,0,0,0,0,0,0,0,0,0,0
98,2016,10,Alaska,1,26,Special Services - Youth at Risk,0,0,0,0,0,0,0,0,0,0
98,2016,10,Alaska,4,27,Substance Abuse Services,0,252205,252205,0,0,0,0,95,95,95
98,2016,10,Alaska,8,28,Transportation,0,0,0,0,0,0,0,0,0,0
98,2016,10,Alaska,8,29,Other Services,0,0,0,0,0,0,0,0,0,0
98,2016,10,Alaska,0,31,Administrative Costs,0,0,0,0,0,0,0,0,0,0
98,2016,10,Alaska,0,32,All Categories,3640366,4460738,8101104,117950225,62678,0,0,95,95,62773
,2016,9,American Samoa,1,1,Adoption Services,0,0,0,0,0,0,0,0,0,0
,2016,9,American Samoa,2,2,Case Management,0,0,0,0,0,0,0,0,0,0
,2016,9,American Samoa,7,3,Congregate Meals,0,0,0,0,0,0,0,0,0,0
,2016,9,American Samoa,2,4,Counseling Services,0,0,0,0,0,0,0,0,0,0
,2016,9,American Samoa,7,5,Day Care - Adults,0,0,0,0,0,0,0,0,0,0
,2016,9,American Samoa,3,6,Day Care - Children,0,0,0,0,0,0,0,0,0,0
,2016,9,American Samoa,5,7,Education and Training Services,0,0,0,0,0,0,0,0,0,0
,2016,9,American Samoa,5,8,Employment Services,0,0,0,0,0,0,0,0,0,0
,2016,9,American Samoa,4,9,Family Planning Services,0,0,0,0,0,0,0,0,0,0
,2016,9,American Samoa,7,10,Foster Care Services - Adults,0,0,0,0,0,0,0,0,0,0
,2016,9,American Samoa,1,11,Foster Care Services - Children,0,0,0,0,0,0,0,0,0,0
,2016,9,American Samoa,4,12,Health-Related Services,0,0,0,0,0,0,0,0,0,0
,2016,9,American Samoa,8,13,Home-Based Services,0,0,0,0,0,0,0,0,0,0
,2016,9,American Samoa,7,14,Home-Delivered Meals,0,0,0,0,0,0,0,0,0,0
,2016,9,American Samoa,8,15,Housing Services,0,0,0,0,0,0,0,0,0,0
,2016,9,American Samoa,5,16,Independent/Transitional Living Services,0,0,0,0,0,0,0,0,0,0
,2016,9,American Samoa,2,17,Information and Referral,0,0,0,0,0,0,0,0,0,0
,2016,9,American Samoa,8,18,Legal Services,0,0,0,0,0,0,0,0,0,0
,2016,9,American Samoa,4,19,Pregnancy and Parenting,0,0,0,0,0,0,0,0,0,0
,2016,9,American Samoa,8,20,Prevention and Intervention,0,0,0,0,0,0,0,0,0,0
,2016,9,American Samoa,7,21,Protective Services - Adults,0,0,0,0,0,0,0,0,0,0
,2016,9,American Samoa,1,22,Protective Services - Children,0,0,0,0,0,0,0,0,0,0
,2016,9,American Samoa,8,23,Recreation Services,0,0,0,0,0,0,0,0,0,0
,2016,9,American Samoa,4,24,Residential Treatment,0,0,0,0,0,0,0,0,0,0
,2016,9,American Samoa,6,25,Special Services - Disabled,0,0,0,0,0,0,0,0,0,0
,2016,9,American Samoa,1,26,Special Services - Youth at Risk,0,0,0,0,0,0,0,0,0,0
,2016,9,American Samoa,4,27,Substance Abuse Services,0,0,0,0,0,0,0,0,0,0
,2016,9,American Samoa,8,28,Transportation,0,0,0,0,0,0,0,0,0,0
,2016,9,American Samoa,8,29,Other Services,0,0,0,0,0,0,0,0,0,0
,2016,9,American Samoa,0,31,Administrative Costs,0,0,0,0,0,0,0,0,0,0
,2016,9,American Samoa,0,32,All Categories,0,0,0,0,0,0,0,0,0,0
97,2016,9,Arizona,1,1,Adoption Services,0,0,0,0,0,0,0,0,0,0
97,2016,9,Arizona,2,2,Case Management,9510796,0,9510796,332436000,44598,987,7580,31320,39887,84485
97,2016,9,Arizona,7,3,Congregate Meals,100918,0,100918,4452520,0,1603,18015,0,19618,19618
97,2016,9,Arizona,2,4,Counseling Services,42670,0,42670,0,0,0,0,143,143,143
97,2016,9,Arizona,7,5,Day Care - Adults,214657,0,214657,796334,0,13,99,0,112,112
97,2016,9,Arizona,3,6,Day Care - Children,245443,0,245443,81010015,51721,0,0,0,0,51721
97,2016,9,Arizona,5,7,Education and Training Services,0,0,0,0,0,0,0,0,0,0
97,2016,9,Arizona,5,8,Employment Services,27950,0,27950,40187467,3152,11311,1,0,11312,14464
97,2016,9,Arizona,4,9,Family Planning Services,0,0,0,0,0,0,0,0,0,0
97,2016,9,Arizona,7,10,Foster Care Services - Adults,0,0,0,0,0,0,0,0,0,0
97,2016,9,Arizona,1,11,Foster Care Services - Children,5849500,21335657,27185157,276111000,40366,0,0,0,0,40366
97,2016,9,Arizona,4,12,Health-Related Services,236961,0,236961,135889,0,8,113,0,121,121
97,2016,9,Arizona,8,13,Home-Based Services,2689880,0,2689880,6261020,0,636,6106,0,6742,6742
97,2016,9,Arizona,7,14,Home-Delivered Meals,1050718,0,1050718,6283116,0,350,4261,0,4611,4611
97,2016,9,Arizona,8,15,Housing Services,1247758,0,1247758,15468010,1445,50,801,14454,15305,16750
97,2016,9,Arizona,5,16,Independent/Transitional Living Services,444464,0,444464,3068138,1,42,294,0,336,337
97,2016,9,Arizona,2,17,Information and Referral,123247,0,123247,1273477,0,3349,18718,0,22067,22067
97,2016,9,Arizona,8,18,Legal Services,1505115,0,1505115,22027596,40366,215,950,5773,6938,47304
97,2016,9,Arizona,4,19,Pregnancy and Parenting,0,0,0,0,0,0,0,0,0,0
97,2016,9,Arizona,8,20,Prevention and Intervention,143643,0,143643,1041976,108,4334,1151,0,5485,5593
97,2016,9,Arizona,7,21,Protective Services - Adults,5883492,0,5883492,10173505,0,3273,8356,0,11629,11629
97,2016,9,Arizona,1,22,Protective Services - Children,0,0,0,0,0,0,0,0,0,0
97,2016,9,Arizona,8,23,Recreation Services,0,0,0,0,0,0,0,0,0,0
97,2016,9,Arizona,4,24,Residential Treatment,0,0,0,0,0,0,0,0,0,0
97,2016,9,Arizona,6,25,Special Services - Disabled,26988,0,26988,57813239,136,3692,276,0,3968,4104
97,2016,9,Arizona,1,26,Special Services - Youth at Risk,0,0,0,0,0,0,0,0,0,0
97,2016,9,Arizona,4,27,Substance Abuse Services,0,0,0,0,0,0,0,0,0,0
97,2016,9,Arizona,8,28,Transportation,200474,0,200474,1334021,0,813,11953,250,13016,13016
97,2016,9,Arizona,8,29,Other Services,643396,0,643396,10177408,294149,92,944,948559,949595,1243744
97,2016,9,Arizona,0,31,Administrative Costs,419806,0,419806,0,0,0,0,0,0,0
97,2016,9,Arizona,0,32,All Categories,30607876,21335657,51943533,870050731,476042,30768,79618,1000499,1110885,1586927
96,2016,6,Arkansas,1,1,Adoption Services,0,0,0,0,0,0,0,0,0,0
96,2016,6,Arkansas,2,2,Case Management,0,0,0,0,0,0,0,0,0,0
96,2016,6,Arkansas,7,3,Congregate Meals,362333,0,362333,0,0,0,1000,0,1000,1000
96,2016,6,Arkansas,2,4,Counseling Services,1218565,0,1218565,33504094,20263,36821,4255,0,41076,61339
96,2016,6,Arkansas,7,5,Day Care - Adults,0,0,0,0,0,0,0,0,0,0
96,2016,6,Arkansas,3,6,Day Care - Children,538433,0,538433,720043,600,0,0,0,0,600
96,2016,6,Arkansas,5,7,Education and Training Services,0,0,0,0,0,0,0,0,0,0
96,2016,6,Arkansas,5,8,Employment Services,0,0,0,0,0,0,0,0,0,0
96,2016,6,Arkansas,4,9,Family Planning Services,0,0,0,0,0,0,0,0,0,0
96,2016,6,Arkansas,7,10,Foster Care Services - Adults,0,0,0,0,0,0,0,0,0,0
96,2016,6,Arkansas,1,11,Foster Care Services - Children,0,0,0,0,0,0,0,0,0,0
96,2016,6,Arkansas,4,12,Health-Related Services,0,0,0,0,0,0,0,0,0,0
96,2016,6,Arkansas,8,13,Home-Based Services,16217,0,16217,0,0,0,50,0,50,50
96,2016,6,Arkansas,7,14,Home-Delivered Meals,1147823,0,1147823,0,0,0,1433,0,1433,1433
96,2016,6,Arkansas,8,15,Housing Services,0,0,0,0,0,0,0,0,0,0
96,2016,6,Arkansas,5,16,Independent/Transitional Living Services,0,0,0,0,0,0,0,0,0,0
96,2016,6,Arkansas,2,17,Information and Referral,0,0,0,0,0,0,0,0,0,0
96,2016,6,Arkansas,8,18,Legal Services,591768,0,591768,0,0,5458,0,0,5458,5458
96,2016,6,Arkansas,4,19,Pregnancy and Parenting,0,0,0,0,0,0,0,0,0,0
96,2016,6,Arkansas,8,20,Prevention and Intervention,3442726,0,3442726,5041947,14482,11293,16944,19330,47567,62049
96,2016,6,Arkansas,7,21,Protective Services - Adults,159011,0,159011,0,0,1927,0,0,1927,1927
96,2016,6,Arkansas,1,22,Protective Services - Children,1477030,0,1477030,0,8345,0,0,0,0,8345
96,2016,6,Arkansas,8,23,Recreation Services,95471,0,95471,0,0,0,1586,0,1586,1586
96,2016,6,Arkansas,4,24,Residential Treatment,9480816,0,9480816,0,575,0,0,0,0,575
96,2016,6,Arkansas,6,25,Special Services - Disabled,2652029,0,2652029,3534085,7516,6636,2032,158,8826,16342
96,2016,6,Arkansas,1,26,Special Services - Youth at Risk,221134,0,221134,0,376,0,0,0,0,376
96,2016,6,Arkansas,4,27,Substance Abuse Services,430192,0,430192,13172636,567,9672,257,3,9932,10499
96,2016,6,Arkansas,8,28,Transportation,199208,0,199208,25569,1,67,436,0,503,504
96,2016,6,Arkansas,8,29,Other Services,0,0,0,0,0,0,0,0,0,0
96,2016,6,Arkansas,0,31,Administrative Costs,665459,0,665459,0,0,0,0,0,0,0
96,2016,6,Arkansas,0,32,All Categories,22698215,0,22698215,55998374,52725,71874,27993,19491,119358,172083
95,2016,9,California,1,1,Adoption Services,0,0,0,0,0,0,0,0,0,0
95,2016,9,California,2,2,Case Management,0,0,0,0,0,0,0,0,0,0
95,2016,9,California,7,3,Congregate Meals,0,0,0,0,0,0,0,0,0,0
95,2016,9,California,2,4,Counseling Services,0,0,0,0,0,0,0,0,0,0
95,2016,9,California,7,5,Day Care - Adults,2891558,0,2891558,1322850,0,44921,11230,0,56151,56151
95,2016,9,California,3,6,Day Care - Children,33990980,173108000,207098980,612379268,2212127,0,0,0,0,2212127
95,2016,9,California,5,7,Education and Training Services,0,0,0,0,0,0,0,0,0,0
95,2016,9,California,5,8,Employment Services,0,0,0,0,0,0,0,0,0,0
95,2016,9,California,4,9,Family Planning Services,0,0,0,0,0,0,0,0,0,0
95,2016,9,California,7,10,Foster Care Services - Adults,15180677,0,15180677,45512622,0,35388,4826,0,40214,40214
95,2016,9,California,1,11,Foster Care Services - Children,0,93974732,93974732,864599268,76946,0,0,0,0,76946
95,2016,9,California,4,12,Health-Related Services,0,0,0,0,0,0,0,0,0,0
95,2016,9,California,8,13,Home-Based Services,0,0,0,0,0,0,0,0,0,0
95,2016,9,California,7,14,Home-Delivered Meals,0,0,0,0,0,0,0,0,0,0
95,2016,9,California,8,15,Housing Services,0,0,0,0,0,0,0,0,0,0
95,2016,9,California,5,16,Independent/Transitional Living Services,0,0,0,0,0,0,0,0,0,0
95,2016,9,California,2,17,Information and Referral,0,0,0,0,0,0,0,0,0,0
95,2016,9,California,8,18,Legal Services,0,0,0,0,0,0,0,0,0,0
95,2016,9,California,4,19,Pregnancy and Parenting,0,0,0,0,0,0,0,0,0,0
95,2016,9,California,8,20,Prevention and Intervention,0,0,0,0,0,0,0,0,0,0
95,2016,9,California,7,21,Protective Services - Adults,0,0,0,0,0,0,0,0,0,0
95,2016,9,California,1,22,Protective Services - Children,0,0,0,0,0,0,0,0,0,0
95,2016,9,California,8,23,Recreation Services,0,0,0,0,0,0,0,0,0,0
95,2016,9,California,4,24,Residential Treatment,0,0,0,0,0,0,0,0,0,0
95,2016,9,California,6,25,Special Services - Disabled,138959805,77157000,216116805,5084317684,178857,141998,13955,162700,318653,497510
95,2016,9,California,1,26,Special Services - Youth at Risk,0,0,0,0,0,0,0,0,0,0
95,2016,9,California,4,27,Substance Abuse Services,0,0,0,0,0,0,0,0,0,0
95,2016,9,California,8,28,Transportation,0,0,0,0,0,0,0,0,0,0
95,2016,9,California,8,29,Other Services,0,0,0,0,0,0,0,0,0,0
95,2016,9,California,0,31,Administrative Costs,0,0,0,0,0,0,0,0,0,0
95,2016,9,California,0,32,All Categories,191023020,344239732,535262752,6608131692,2467930,222307,30011,162700,415018,2882948
94,2016,8,Colorado,1,1,Adoption Services,0,0,0,0,0,0,0,0,0,0
94,2016,8,Colorado,2,2,Case Management,0,0,0,0,0,0,0,0,0,0
94,2016,8,Colorado,7,3,Congregate Meals,0,0,0,0,0,0,0,0,0,0
94,2016,8,Colorado,2,4,Counseling Services,0,0,0,0,0,0,0,0,0,0
94,2016,8,Colorado,7,5,Day Care - Adults,0,0,0,0,0,0,0,0,0,0
94,2016,8,Colorado,3,6,Day Care - Children,100000,739588,839588,91365434,19401,0,0,0,0,19401
94,2016,8,Colorado,5,7,Education and Training Services,0,0,0,0,0,0,0,0,0,0
94,2016,8,Colorado,5,8,Employment Services,0,0,0,0,0,0,0,0,0,0
94,2016,8,Colorado,4,9,Family Planning Services,0,0,0,0,0,0,0,0,0,0
94,2016,8,Colorado,7,10,Foster Care Services - Adults,0,0,0,0,0,0,0,0,0,0
94,2016,8,Colorado,1,11,Foster Care Services - Children,18464965,0,18464965,326212690,23204,0,0,0,0,23204
94,2016,8,Colorado,4,12,Health-Related Services,0,0,0,0,0,0,0,0,0,0
94,2016,8,Colorado,8,13,Home-Based Services,0,0,0,0,0,0,0,0,0,0
94,2016,8,Colorado,7,14,Home-Delivered Meals,0,0,0,0,0,0,0,0,0,0
94,2016,8,Colorado,8,15,Housing Services,0,0,0,0,0,0,0,0,0,0
94,2016,8,Colorado,5,16,Independent/Transitional Living Services,0,0,0,0,0,0,0,0,0,0
94,2016,8,Colorado,2,17,Information and Referral,0,0,0,0,0,0,0,0,0,0
94,2016,8,Colorado,8,18,Legal Services,0,0,0,0,0,0,0,0,0,0
94,2016,8,Colorado,4,19,Pregnancy and Parenting,0,0,0,0,0,0,0,0,0,0
94,2016,8,Colorado,8,20,Prevention and Intervention,0,0,0,0,0,0,0,0,0,0
94,2016,8,Colorado,7,21,Protective Services - Adults,2041029,0,2041029,11267595,0,1884,5847,0,7731,7731
94,2016,8,Colorado,1,22,Protective Services - Children,0,0,0,0,0,0,0,0,0,0
94,2016,8,Colorado,8,23,Recreation Services,0,0,0,0,0,0,0,0,0,0
94,2016,8,Colorado,4,24,Residential Treatment,0,0,0,0,0,0,0,0,0,0
94,2016,8,Colorado,6,25,Special Services - Disabled,0,0,0,0,0,0,0,0,0,0
94,2016,8,Colorado,1,26,Special Services - Youth at Risk,0,0,0,0,0,0,0,0,0,0
94,2016,8,Colorado,4,27,Substance Abuse Services,0,0,0,0,0,0,0,0,0,0
94,2016,8,Colorado,8,28,Transportation,0,0,0,0,0,0,0,0,0,0
94,2016,8,Colorado,8,29,Other Services,0,0,0,0,0,0,0,0,0,0
94,2016,8,Colorado,0,31,Administrative Costs,5326272,0,5326272,0,0,0,0,0,0,0
94,2016,8,Colorado,0,32,All Categories,25932266,739588,26671854,428845719,42605,1884,5847,0,7731,50336
93,2016,1,Connecticut,1,1,Adoption Services,0,0,0,0,0,0,0,0,0,0
93,2016,1,Connecticut,2,2,Case Management,2573595,1016977,3590572,9988158,109018,194916,37360,369,232645,341663
93,2016,1,Connecticut,7,3,Congregate Meals,0,0,0,0,0,0,0,0,0,0
93,2016,1,Connecticut,2,4,Counseling Services,252634,0,252634,2784803,1008,2713,1073,56,3842,4850
93,2016,1,Connecticut,7,5,Day Care - Adults,0,0,0,0,0,0,0,0,0,0
93,2016,1,Connecticut,3,6,Day Care - Children,0,15625131,15625131,16970802,109071,0,0,3476,3476,112547
93,2016,1,Connecticut,5,7,Education and Training Services,0,0,0,0,0,0,0,0,0,0
93,2016,1,Connecticut,5,8,Employment Services,80000,0,80000,0,0,342,0,0,342,342
93,2016,1,Connecticut,4,9,Family Planning Services,955864,0,955864,126217,903,13234,103,0,13337,14240
93,2016,1,Connecticut,7,10,Foster Care Services - Adults,0,0,0,0,0,0,0,0,0,0
93,2016,1,Connecticut,1,11,Foster Care Services - Children,0,0,0,0,0,0,0,0,0,0
93,2016,1,Connecticut,4,12,Health-Related Services,0,0,0,0,0,0,0,0,0,0
93,2016,1,Connecticut,8,13,Home-Based Services,5175984,0,5175984,0,0,1324,628,8,1960,1960
93,2016,1,Connecticut,7,14,Home-Delivered Meals,450000,0,450000,10587262,0,13,616,0,629,629
93,2016,1,Connecticut,8,15,Housing Services,6524928,1851908,8376836,8723886,1067,3373,235,0,3608,4675
93,2016,1,Connecticut,5,16,Independent/Transitional Living Services,165760,1481363,1647123,9363798,1536,6404,539,0,6943,8479
93,2016,1,Connecticut,2,17,Information and Referral,464234,0,464234,3216432,476,36003,1419,7721,45143,45619
93,2016,1,Connecticut,8,18,Legal Services,732451,0,732451,17910573,1064,3284,1721,0,5005,6069
93,2016,1,Connecticut,4,19,Pregnancy and Parenting,0,0,0,0,0,0,0,0,0,0
93,2016,1,Connecticut,8,20,Prevention and Intervention,11704,0,11704,244302,15,250,18,0,268,283
93,2016,1,Connecticut,7,21,Protective Services - Adults,341458,0,341458,0,8,290,1,77,368,376
93,2016,1,Connecticut,1,22,Protective Services - Children,0,3065411,3065411,0,125337,207064,52624,0,259688,385025
93,2016,1,Connecticut,8,23,Recreation Services,0,0,0,0,0,0,0,0,0,0
93,2016,1,Connecticut,4,24,Residential Treatment,0,3209614,3209614,7847577,110,0,0,0,0,110
93,2016,1,Connecticut,6,25,Special Services - Disabled,0,0,0,0,0,0,0,0,0,0
93,2016,1,Connecticut,1,26,Special Services - Youth at Risk,0,0,0,0,0,0,0,0,0,0
93,2016,1,Connecticut,4,27,Substance Abuse Services,1402490,0,1402490,14996261,0,3363,181,0,3544,3544
93,2016,1,Connecticut,8,28,Transportation,0,0,0,0,0,0,0,0,0,0
93,2016,1,Connecticut,8,29,Other Services,0,613070,613070,1281681,4659,14118,3170,258,17546,22205
93,2016,1,Connecticut,0,31,Administrative Costs,0,0,0,0,0,0,0,0,0,0
93,2016,1,Connecticut,0,32,All Categories,19131102,26863474,45994576,104041752,354272,486691,99688,11965,598344,952616
10,2016,3,Delaware,1,1,Adoption Services,0,0,0,0,0,0,0,0,0,0
10,2016,3,Delaware,2,2,Case Management,75015,0,75015,25368,0,149,402,0,551,551
10,2016,3,Delaware,7,3,Congregate Meals,0,0,0,0,0,0,0,0,0,0
10,2016,3,Delaware,2,4,Counseling Services,0,0,0,0,0,0,0,0,0,0
10,2016,3,Delaware,7,5,Day Care - Adults,9794,0,9794,622349,0,19,34,0,53,53
10,2016,3,Delaware,3,6,Day Care - Children,1011649,0,1011649,0,15315,0,0,0,0,15315
10,2016,3,Delaware,5,7,Education and Training Services,0,0,0,0,0,0,0,0,0,0
10,2016,3,Delaware,5,8,Employment Services,0,0,0,0,0,0,0,0,0,0
10,2016,3,Delaware,4,9,Family Planning Services,0,0,0,0,0,0,0,0,0,0
10,2016,3,Delaware,7,10,Foster Care Services - Adults,5583,0,5583,97917,0,1,4,0,5,5
10,2016,3,Delaware,1,11,Foster Care Services - Children,827441,0,827441,11353900,712,0,0,0,0,712
10,2016,3,Delaware,4,12,Health-Related Services,0,0,0,0,0,0,0,0,0,0
10,2016,3,Delaware,8,13,Home-Based Services,430059,0,430059,2766756,0,28,84,0,112,112
10,2016,3,Delaware,7,14,Home-Delivered Meals,59405,0,59405,4139396,0,51,17,0,68,68
10,2016,3,Delaware,8,15,Housing Services,0,0,0,0,0,0,0,0,0,0
10,2016,3,Delaware,5,16,Independent/Transitional Living Services,0,0,0,0,0,0,0,0,0,0
10,2016,3,Delaware,2,17,Information and Referral,0,0,0,0,0,0,0,0,0,0
10,2016,3,Delaware,8,18,Legal Services,0,0,0,0,0,0,0,0,0,0
10,2016,3,Delaware,4,19,Pregnancy and Parenting,0,0,0,0,0,0,0,0,0,0
10,2016,3,Delaware,8,20,Prevention and Intervention,51430,0,51430,579134,0,37,14,0,51,51
10,2016,3,Delaware,7,21,Protective Services - Adults,0,0,0,0,0,0,0,0,0,0
10,2016,3,Delaware,1,22,Protective Services - Children,435380,0,435380,26859390,8948,0,0,0,0,8948
10,2016,3,Delaware,8,23,Recreation Services,0,0,0,0,0,0,0,0,0,0
10,2016,3,Delaware,4,24,Residential Treatment,0,0,0,0,0,0,0,0,0,0
10,2016,3,Delaware,6,25,Special Services - Disabled,0,0,0,0,0,0,0,0,0,0
10,2016,3,Delaware,1,26,Special Services - Youth at Risk,909905,0,909905,11099497,1853,0,0,0,0,1853
10,2016,3,Delaware,4,27,Substance Abuse Services,0,0,0,0,0,0,0,0,0,0
10,2016,3,Delaware,8,28,Transportation,0,0,0,0,0,0,0,0,0,0
10,2016,3,Delaware,8,29,Other Services,0,0,0,0,0,0,0,0,0,0
10,2016,3,Delaware,0,31,Administrative Costs,247472,0,247472,0,0,0,0,0,0,0
10,2016,3,Delaware,0,32,All Categories,4063133,0,4063133,57543707,26828,285,555,0,840,27668
11,2016,3,District of Columbia,1,1,Adoption Services,0,0,0,0,0,0,0,0,0,0
11,2016,3,District of Columbia,2,2,Case Management,0,0,0,0,0,0,0,0,0,0
11,2016,3,District of Columbia,7,3,Congregate Meals,0,0,0,0,0,0,0,0,0,0
11,2016,3,District of Columbia,2,4,Counseling Services,0,0,0,0,0,0,0,0,0,0
11,2016,3,District of Columbia,7,5,Day Care - Adults,0,0,0,0,0,0,0,0,0,0
11,2016,3,District of Columbia,3,6,Day Care - Children,229251,0,229251,80970326,11275,0,0,0,0,11275
11,2016,3,District of Columbia,5,7,Education and Training Services,0,0,0,0,0,0,0,0,0,0
11,2016,3,District of Columbia,5,8,Employment Services,0,0,0,0,0,0,0,0,0,0
11,2016,3,District of Columbia,4,9,Family Planning Services,0,0,0,0,0,0,0,0,0,0
11,2016,3,District of Columbia,7,10,Foster Care Services - Adults,0,0,0,0,0,0,0,0,0,0
11,2016,3,District of Columbia,1,11,Foster Care Services - Children,0,0,0,0,0,0,0,0,0,0
11,2016,3,District of Columbia,4,12,Health-Related Services,0,0,0,0,0,0,0,0,0,0
11,2016,3,District of Columbia,8,13,Home-Based Services,0,0,0,0,0,0,0,0,0,0
11,2016,3,District of Columbia,7,14,Home-Delivered Meals,0,0,0,0,0,0,0,0,0,0
11,2016,3,District of Columbia,8,15,Housing Services,0,0,0,0,0,0,0,0,0,0
